STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Georgia,Georgia,Bruised Red,0.8% ^0.7% - 1.0%^,21725,136,Green,32,67065,72% ^Elevated^,Elevated,81% ^Constrained^,Constrained,191,Bruised Red,207,221,213,210,201,249,243,234,232,234,233,223,216,258,207,-6% ^Decreasing^,Green,2.13,Yellow
Hawaii,Hawaii,Bruised Red,0.6% ^0.2% - 0.9%^,5123,240,Green,70,7326,63% ^Normal^,Normal,90% ^Constrained^,Constrained,157,Bruised Red,187,136,177,191,206,202,197,192,192,210,203,195,196,187,187,38% ^Increasing^,Red,0.87,Green
Idaho,Idaho,Bruised Red,0.9% ^0.6% - 1.3%^,1835,68,Red,22,8486,54% ^Normal^,Normal,50% ^Normal^,Normal,144,Red,84,107,90,90,98,98,101,101,101,91,91,96,96,84,84,-21% ^Decreasing^,Green,1.15,Yellow
Illinois,Illinois 😷,Bruised Red,0.6% ^0.5% - 0.7%^,57402,301,Green,74,77555,55% ^Normal^,Normal,66% ^Normal^,Normal,185,Bruised Red,119,121,122,124,129,122,123,116,118,119,126,128,128,122,119,-2% ^Decreasing^,Green,3.34,Yellow
Indiana,Indiana 😷,Red,0.6% ^0.5% - 0.8%^,10502,104,Green,34,30600,62% ^Normal^,Normal,62% ^Normal^,Normal,138,Red,112,135,147,141,131,129,131,131,131,126,132,127,128,115,112,-18% ^Decreasing^,Green,3.37,Yellow
Iowa,Iowa,Bruised Red,0.9% ^0.6% - 1.1%^,5120,108,Green,19,26263,59% ^Normal^,Normal,62% ^Normal^,Normal,252,Bruised Red,98,87,94,99,97,95,100,98,95,99,98,102,100,100,98,12% ^Increasing^,Red,1.71,Yellow
Kansas,Kansas 😷,Bruised Red,0.9% ^0.6% - 1.2%^,3437,78,Yellow,17,19668,63% ^Normal^,Normal,57% ^Normal^,Normal,205,Bruised Red,108,65,65,90,90,113,113,113,72,72,115,115,108,108,108,66% ^Increasing^,Red,1.06,Yellow
Kentucky,Kentucky 😷,Bruised Red,0.7% ^0.5% - 1.0%^,8002,119,Green,36,22355,79% ^Elevated^,Elevated,68% ^Normal^,Normal,152,Bruised Red,120,126,133,133,128,128,128,128,125,124,132,127,128,120,120,-5% ^Decreasing^,Green,1.89,Yellow
Louisiana,Louisiana 😷,Bruised Red,0.8% ^0.5% - 1.0%^,12828,183,Green,52,24495,66% ^Normal^,Normal,66% ^Normal^,Normal,160,Bruised Red,170,202,200,197,188,194,194,194,190,196,188,183,174,174,170,-16% ^Decreasing^,Green,3.31,Yellow
Maine,Maine 😷,Green,0.5% ^0.2% - 0.7%^,5313,262,Green,262,2025,71% ^Elevated^,Elevated,70% ^Elevated^,Elevated,18,Green,4,4,6,6,7,7,6,5,4,7,8,7,7,4,4,0% ^Decreasing^,Green,2.86,Yellow
Maryland,Maryland 😷,Red,0.3% ^0.2% - 0.5%^,10584,116,Green,52,20403,72% ^Elevated^,Elevated,80% ^Constrained^,Constrained,102,Red,56,67,68,71,68,68,64,59,62,64,61,63,65,58,56,-16% ^Decreasing^,Green,3.39,Yellow
Massachusetts,Massachusetts 😷,Yellow,0.3% ^0.1% - 0.4%^,19375,185,Green,185,10470,53% ^Normal^,Normal,71% ^Elevated^,Elevated,43,Yellow,45,44,47,51,48,45,44,42,45,46,44,45,48,47,45,1% ^Increasing^,Red,7.45,Red
Michigan,Michigan 😷,Yellow,0.5% ^0.3% - 0.6%^,24887,165,Green,113,21992,75% ^Elevated^,Elevated,74% ^Elevated^,Elevated,67,Yellow,62,64,64,64,67,67,67,67,63,63,63,62,62,62,62,-3% ^Decreasing^,Green,5.81,Red
Minnesota,Minnesota,Red,0.6% ^0.4% - 0.7%^,9460,111,Green,37,25448,74% ^Elevated^,Elevated,70% ^Normal^,Normal,137,Red,50,55,55,54,54,53,56,56,54,52,53,48,49,49,50,-8% ^Decreasing^,Green,2.37,Yellow
Mississippi,Mississippi 😷,Bruised Red,1.2% ^0.9% - 1.6%^,4092,91,Yellow,21,19857,72% ^Elevated^,Elevated,66% ^Normal^,Normal,202,Bruised Red,255,303,309,295,278,277,275,275,269,268,288,273,265,255,255,-16% ^Decreasing^,Green,2.97,Yellow
Missouri,Missouri,Bruised Red,0.7% ^0.5% - 0.8%^,10229,111,Green,22,46101,66% ^Normal^,Normal,61% ^Normal^,Normal,228,Bruised Red,152,156,151,144,147,164,159,164,148,148,152,152,152,152,152,-2% ^Decreasing^,Green,1.77,Yellow
Montana,Montana,Red,0.8% ^0.4% - 1.2%^,2195,136,Green,50,4356,63% ^Normal^,Normal,61% ^Normal^,Normal,124,Red,146,107,111,117,111,113,120,123,125,131,140,141,140,141,146,37% ^Increasing^,Red,1.42,Yellow
Nebraska,Nebraska,Bruised Red,0.9% ^0.5% - 1.2%^,2698,93,Yellow,28,9674,58% ^Normal^,Normal,64% ^Normal^,Normal,152,Bruised Red,91,75,80,87,86,90,87,89,89,83,84,89,84,90,91,21% ^Increasing^,Red,1.13,Yellow
Nevada,Nevada 😷,Bruised Red,0.7% ^0.4% - 1.0%^,3400,73,Red,27,12738,72% ^Elevated^,Elevated,73% ^Elevated^,Elevated,125,Red,194,250,251,247,236,230,219,219,216,209,219,205,198,194,194,-23% ^Decreasing^,Green,1.94,Yellow
New Hampshire,New Hampshire,Green,0.2% ^0.0% - 0.4%^,1624,79,Yellow,79,2049,51% ^Normal^,Normal,64% ^Normal^,Normal,20,Green,7,8,6,6,7,6,5,4,4,6,6,7,7,7,7,-9% ^Decreasing^,Green,5.81,Red
New Jersey,New Jersey 😷,Green,0.2% ^0.1% - 0.3%^,23710,177,Green,177,13382,54% ^Normal^,Normal,74% ^Elevated^,Elevated,39,Green,45,50,49,48,51,49,49,54,54,52,58,57,52,44,45,-10% ^Decreasing^,Green,8.24,Red
New Mexico,New Mexico 😷,Yellow,0.4% ^0.2% - 0.6%^,5041,160,Green,123,4101,58% ^Normal^,Normal,59% ^Normal^,Normal,59,Yellow,32,31,32,31,34,32,34,32,31,31,34,34,36,33,32,6% ^Increasing^,Red,3.07,Yellow
New York,New York 😷,Green,0.3% ^0.3% - 0.4%^,85636,292,Green,292,29309,59% ^Normal^,Normal,83% ^Constrained^,Constrained,40,Green,21,25,25,25,25,25,24,22,21,22,23,22,22,22,21,-15% ^Decreasing^,Green,5.77,Red
North Carolina,North Carolina,Red,0.6% ^0.5% - 0.8%^,28525,181,Green,56,50792,72% ^Elevated^,Elevated,74% ^Elevated^,Elevated,147,Red,79,90,95,96,91,92,92,87,88,90,82,82,91,79,79,-12% ^Decreasing^,Green,1.63,Yellow
North Dakota,North Dakota,Bruised Red,0.8% ^0.3% - 1.2%^,1576,137,Green,17,9094,44% ^Normal^,Normal,68% ^Normal^,Normal,362,Bruised Red,84,67,66,70,80,92,85,89,89,81,87,67,88,88,84,25% ^Increasing^,Red,0.92,Green
Ohio,Ohio 😷,Red,0.4% ^0.3% - 0.5%^,29625,168,Green,76,39110,67% ^Normal^,Normal,71% ^Elevated^,Elevated,101,Red,59,69,67,66,67,68,68,66,66,66,64,63,62,61,59,-14% ^Decreasing^,Green,3.26,Yellow
Oklahoma,Oklahoma,Bruised Red,0.7% ^0.5% - 0.9%^,8447,142,Green,32,26339,65% ^Normal^,Normal,63% ^Normal^,Normal,202,Bruised Red,119,146,140,135,140,141,144,144,144,135,138,136,131,119,119,-18% ^Decreasing^,Green,1.34,Yellow
Oregon,Oregon 😷,Yellow,0.4% ^0.2% - 0.6%^,4583,72,Red,65,7024,79% ^Elevated^,Elevated,96% ^Constrained^,Constrained,50,Yellow,35,34,37,33,41,39,39,39,32,31,33,32,35,35,35,3% ^Increasing^,Red,1.72,Yellow
Pennsylvania,Pennsylvania 😷,Red,0.4% ^0.3% - 0.5%^,12745,66,Red,47,27399,77% ^Elevated^,Elevated,83% ^Constrained^,Constrained,65,Yellow,38,40,42,42,42,41,40,39,39,41,43,41,39,39,38,-5% ^Decreasing^,Green,5.57,Red
Rhode Island,Rhode Island 😷,Yellow,0.4% ^0.1% - 0.7%^,5292,332,Green,330,1603,88% ^Severely constrained^,Severely constrained,100% ^Constrained^,Constrained,46,Yellow,72,76,82,76,77,76,76,73,73,76,74,64,72,72,72,-5% ^Decreasing^,Green,4.74,Yellow
South Carolina,South Carolina,Bruised Red,0.7% ^0.5% - 0.9%^,8336,107,Green,27,31246,76% ^Elevated^,Elevated,83% ^Constrained^,Constrained,184,Bruised Red,153,190,199,205,195,190,184,186,181,174,173,177,177,164,153,-20% ^Decreasing^,Green,2.31,Yellow
South Dakota,South Dakota,Bruised Red,0.5% ^0.2% - 0.9%^,1350,101,Green,16,8424,51% ^Normal^,Normal,61% ^Normal^,Normal,289,Bruised Red,92,73,60,66,85,90,89,88,86,88,87,86,101,97,92,25% ^Increasing^,Red,1.15,Yellow
Tennessee,Tennessee,Bruised Red,0.9% ^0.7% - 1.1%^,20313,197,Green,39,51909,70% ^Elevated^,Elevated,67% ^Normal^,Normal,230,Bruised Red,142,149,161,157,153,148,147,130,133,152,158,155,152,146,142,-5% ^Decreasing^,Green,1.14,Yellow
Texas,Texas 😷,Red,0.7% ^0.6% - 0.8%^,51124,117,Green,39,131793,76% ^Elevated^,Elevated,69% ^Normal^,Normal,138,Red,128,173,169,166,155,153,147,144,145,143,143,141,134,137,128,-26% ^Decreasing^,Green,2.11,Yellow
Utah,Utah,Red,0.7% ^0.4% - 0.9%^,4747,98,Yellow,36,13228,56% ^Normal^,Normal,58% ^Normal^,Normal,125,Red,47,45,45,41,42,40,43,42,45,45,46,43,45,47,47,6% ^Increasing^,Red,0.77,Green
Vermont,Vermont 😷,Green,0.3% ^-0.1% - 0.6%^,1541,164,Green,164,940,65% ^Normal^,Normal,63% ^Normal^,Normal,7,Green,6,18,21,22,19,18,16,21,13,10,3,5,3,6,6,-64% ^Decreasing^,Green,3.52,Yellow
Virginia,Virginia,Red,0.5% ^0.3% - 0.6%^,13808,107,Green,41,33844,69% ^Normal^,Normal,64% ^Normal^,Normal,120,Red,127,132,138,137,138,129,129,128,127,122,131,132,129,129,127,-4% ^Decreasing^,Green,2.11,Yellow
Washington,Washington 😷,Yellow,0.4% ^0.3% - 0.5%^,12732,111,Green,107,11861,96% ^Severely constrained^,Severely constrained,91% ^Constrained^,Constrained,47,Yellow,37,49,46,47,46,46,45,45,45,43,43,41,41,38,37,-24% ^Decreasing^,Green,2.54,Yellow
West Virginia,West Virginia,Red,0.5% ^0.3% - 0.7%^,3894,144,Green,63,6138,72% ^Elevated^,Elevated,70% ^Normal^,Normal,104,Red,83,79,78,80,81,74,84,79,78,79,81,81,85,86,83,6% ^Increasing^,Red,2.16,Yellow
Wisconsin,Wisconsin,Bruised Red,0.5% ^0.4% - 0.7%^,8378,96,Yellow,29,28536,53% ^Normal^,Normal,62% ^Normal^,Normal,149,Red,47,55,58,61,50,53,53,49,49,51,49,49,52,47,47,-14% ^Decreasing^,Green,1.36,Yellow
Wyoming,Wyoming,Red,0.6% ^0.1% - 1.0%^,436,50,Red,44,999,49% ^Normal^,Normal,44% ^Normal^,Normal,52,Yellow,26,35,31,29,22,26,26,26,28,22,24,26,26,26,26,-25% ^Decreasing^,Green,1.04,Yellow
Puerto Rico,Puerto Rico,Bruised Red,,241,5,Bruised Red,3,7944,61% ^Normal^,Normal,59% ^Normal^,Normal,75,Yellow,118,114,122,124,126,128,114,114,120,123,117,109,120,116,118,4% ^Increasing^,Red,1.38,Yellow
United States,United States,Red,,750364,150,Green,56,1348389,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,123,Red,97,117,117,116,113,112,110,108,107,106,107,104,103,101,97,-16% ^Decreasing^,Green,2.9,Yellow
