STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Hawaii,Hawaii,Red,0.2% ^0.0% - 0.4%^,5086,238,Green,79,6468,58% ^Normal^,Normal,67% ^Normal^,Normal,138,Red,182,206,202,197,192,192,210,203,195,196,187,187,187,187,182,-12% ^Decreasing^,Green,0.88,Green
Idaho,Idaho,Bruised Red,0.9% ^0.5% - 1.3%^,1634,61,Red,21,7604,46% ^Normal^,Normal,45% ^Normal^,Normal,129,Red,64,98,98,101,101,101,91,91,96,96,84,84,84,64,64,-35% ^Decreasing^,Green,1.14,Yellow
Illinois,Illinois 😷,Bruised Red,0.7% ^0.5% - 0.8%^,58156,305,Green,81,72001,49% ^Normal^,Normal,57% ^Normal^,Normal,172,Bruised Red,125,129,122,123,116,118,119,126,128,128,122,119,117,119,125,-3% ^Decreasing^,Green,3.3,Yellow
Indiana,Indiana 😷,Red,0.8% ^0.6% - 1.0%^,9346,92,Yellow,35,27036,57% ^Normal^,Normal,56% ^Normal^,Normal,122,Red,113,131,129,131,131,131,126,132,127,128,115,112,115,125,113,-13% ^Decreasing^,Green,3.35,Yellow
Iowa,Iowa,Bruised Red,1.1% ^0.8% - 1.3%^,4560,96,Yellow,20,22902,60% ^Normal^,Normal,54% ^Normal^,Normal,220,Bruised Red,102,97,95,100,98,95,99,98,102,100,100,98,99,103,102,6% ^Increasing^,Red,1.72,Yellow
Kansas,Kansas 😷,Bruised Red,0.7% ^0.5% - 1.0%^,3167,72,Red,19,16359,59% ^Normal^,Normal,54% ^Normal^,Normal,170,Bruised Red,109,90,113,113,113,72,72,115,115,108,108,108,61,61,109,22% ^Increasing^,Red,1.04,Yellow
Kentucky,Kentucky 😷,Red,0.5% ^0.3% - 0.7%^,6282,93,Yellow,33,18791,78% ^Elevated^,Elevated,62% ^Normal^,Normal,127,Red,125,128,128,128,128,125,124,132,127,128,120,120,113,114,125,-3% ^Decreasing^,Green,1.88,Yellow
Louisiana,Louisiana 😷,Bruised Red,0.8% ^0.5% - 1.0%^,13598,194,Green,56,24307,64% ^Normal^,Normal,62% ^Normal^,Normal,158,Bruised Red,168,188,194,194,194,190,196,188,183,174,174,170,169,172,168,-11% ^Decreasing^,Green,3.3,Yellow
Maine,Maine 😷,Green,0.3% ^0.1% - 0.6%^,5242,259,Green,259,2025,66% ^Normal^,Normal,61% ^Normal^,Normal,18,Green,7,7,7,6,5,4,7,8,7,7,4,4,6,5,7,0% ^Decreasing^,Green,2.83,Yellow
Maryland,Maryland 😷,Red,0.3% ^0.2% - 0.5%^,9982,110,Green,50,20064,70% ^Normal^,Normal,75% ^Elevated^,Elevated,101,Red,61,68,68,64,59,62,64,61,63,65,58,56,60,60,61,-10% ^Decreasing^,Green,3.36,Yellow
Massachusetts,Massachusetts 😷,Yellow,0.3% ^0.2% - 0.4%^,16909,161,Green,161,10470,50% ^Normal^,Normal,78% ^Elevated^,Elevated,41,Yellow,49,48,45,44,42,45,46,44,45,48,47,45,46,47,49,2% ^Increasing^,Red,7.43,Red
Michigan,Michigan 😷,Yellow,0.5% ^0.4% - 0.6%^,26637,177,Green,105,25434,70% ^Normal^,Normal,68% ^Normal^,Normal,77,Yellow,62,67,67,67,67,63,63,63,62,62,62,62,62,62,62,-8% ^Decreasing^,Green,5.75,Red
Minnesota,Minnesota,Red,0.6% ^0.4% - 0.8%^,7620,90,Yellow,34,22548,68% ^Normal^,Normal,63% ^Normal^,Normal,121,Red,47,54,53,56,56,54,52,53,48,49,49,50,49,46,47,-14% ^Decreasing^,Green,2.35,Yellow
Mississippi,Mississippi 😷,Bruised Red,1.0% ^0.6% - 1.3%^,4007,89,Yellow,25,16217,72% ^Elevated^,Elevated,62% ^Normal^,Normal,165,Bruised Red,229,278,277,275,275,269,268,288,273,265,255,255,255,255,229,-17% ^Decreasing^,Green,2.99,Yellow
Missouri,Missouri,Bruised Red,0.9% ^0.7% - 1.2%^,10402,112,Green,24,43664,62% ^Normal^,Normal,55% ^Normal^,Normal,216,Bruised Red,152,147,164,159,164,148,148,152,152,152,152,152,152,152,152,4% ^Increasing^,Red,1.73,Yellow
Montana,Montana,Red,0.5% ^0.2% - 0.9%^,2468,153,Green,67,3663,62% ^Normal^,Normal,73% ^Elevated^,Elevated,104,Red,153,111,113,120,123,125,131,140,141,140,141,146,153,151,153,37% ^Increasing^,Red,1.44,Yellow
Nebraska,Nebraska,Red,1.3% ^0.9% - 1.8%^,2815,97,Yellow,31,8971,54% ^Normal^,Normal,54% ^Normal^,Normal,141,Red,93,86,90,87,89,89,83,84,89,84,90,91,90,89,93,8% ^Increasing^,Red,1.11,Yellow
Nevada,Nevada 😷,Bruised Red,0.8% ^0.4% - 1.1%^,3224,69,Red,29,11248,69% ^Normal^,Normal,69% ^Normal^,Normal,111,Red,179,236,230,219,219,216,209,219,205,198,194,194,194,175,179,-24% ^Decreasing^,Green,1.95,Yellow
New Hampshire,New Hampshire,Green,0.2% ^0.0% - 0.4%^,1669,81,Yellow,81,2049,49% ^Normal^,Normal,60% ^Normal^,Normal,21,Green,5,7,6,5,4,4,6,6,7,7,7,7,5,5,5,-22% ^Decreasing^,Green,5.78,Red
New Jersey,New Jersey 😷,Green,0.2% ^0.1% - 0.3%^,26983,202,Green,202,13382,48% ^Normal^,Normal,72% ^Elevated^,Elevated,39,Green,48,51,49,49,54,54,52,58,57,52,44,45,44,47,48,-7% ^Decreasing^,Green,8.21,Red
New Mexico,New Mexico 😷,Yellow,0.4% ^0.2% - 0.6%^,4896,155,Green,144,3399,54% ^Normal^,Normal,58% ^Normal^,Normal,49,Yellow,32,34,32,34,32,31,31,34,34,36,33,32,31,31,32,-4% ^Decreasing^,Green,3.08,Yellow
New York,New York 😷,Green,0.4% ^0.3% - 0.5%^,78241,267,Green,267,29309,58% ^Normal^,Normal,67% ^Normal^,Normal,36,Green,24,25,25,24,22,21,22,23,22,22,22,21,21,23,24,-6% ^Decreasing^,Green,5.75,Red
North Carolina,North Carolina,Red,0.6% ^0.4% - 0.7%^,24972,158,Green,59,42330,64% ^Normal^,Normal,68% ^Normal^,Normal,122,Red,87,91,92,92,87,88,90,82,82,91,79,79,73,79,87,-4% ^Decreasing^,Green,1.65,Yellow
North Dakota,North Dakota,Bruised Red,0.8% ^0.3% - 1.4%^,1266,110,Green,15,8688,48% ^Normal^,Normal,59% ^Normal^,Normal,345,Bruised Red,70,80,92,85,89,89,81,87,67,88,88,84,89,83,70,-13% ^Decreasing^,Green,0.91,Green
Ohio,Ohio 😷,Red,0.5% ^0.4% - 0.6%^,25402,144,Green,75,33933,63% ^Normal^,Normal,63% ^Normal^,Normal,88,Red,60,67,68,68,66,66,66,64,63,62,61,59,59,59,60,-11% ^Decreasing^,Green,3.25,Yellow
Oklahoma,Oklahoma,Bruised Red,0.9% ^0.7% - 1.2%^,8613,144,Green,31,27395,61% ^Normal^,Normal,55% ^Normal^,Normal,210,Bruised Red,117,140,141,144,144,144,135,138,136,131,119,119,119,119,117,-16% ^Decreasing^,Green,1.31,Yellow
Oregon,Oregon 😷,Yellow,0.4% ^0.2% - 0.5%^,3956,62,Red,60,6581,58% ^Normal^,Normal,67% ^Normal^,Normal,47,Yellow,35,41,39,39,39,32,31,33,32,35,35,35,35,36,35,-14% ^Decreasing^,Green,1.74,Yellow
Pennsylvania,Pennsylvania 😷,Red,0.4% ^0.3% - 0.5%^,11319,59,Red,42,26772,71% ^Elevated^,Elevated,68% ^Normal^,Normal,63,Yellow,38,42,41,40,39,39,41,43,41,39,39,38,39,40,38,-9% ^Decreasing^,Green,5.52,Red
Rhode Island,Rhode Island 😷,Red,0.7% ^0.2% - 1.1%^,8883,557,Green,315,2819,80% ^Elevated^,Elevated,97% ^Constrained^,Constrained,81,Red,77,77,76,76,73,73,76,74,64,72,77,75,69,69,77,0% ^Decreasing^,Green,4.68,Yellow
South Carolina,South Carolina,Bruised Red,0.7% ^0.5% - 0.9%^,8327,107,Green,31,26919,73% ^Elevated^,Elevated,74% ^Elevated^,Elevated,158,Bruised Red,156,195,190,184,186,181,174,173,177,177,164,153,153,149,156,-20% ^Decreasing^,Green,2.33,Yellow
South Dakota,South Dakota,Bruised Red,1.3% ^0.7% - 1.9%^,1281,96,Yellow,17,7392,45% ^Normal^,Normal,56% ^Normal^,Normal,253,Bruised Red,86,85,90,89,88,86,88,87,86,101,97,92,88,77,86,1% ^Increasing^,Red,1.11,Yellow
Tennessee,Tennessee,Bruised Red,0.7% ^0.6% - 0.9%^,18467,179,Green,45,41278,68% ^Normal^,Normal,65% ^Normal^,Normal,183,Bruised Red,155,153,148,147,130,133,152,158,155,152,146,142,139,144,155,1% ^Increasing^,Red,1.16,Yellow
Texas,Texas 😷,Red,0.7% ^0.6% - 0.8%^,43324,99,Green,38,113727,72% ^Elevated^,Elevated,68% ^Normal^,Normal,119,Red,124,155,153,147,144,145,143,143,141,134,137,128,122,128,124,-20% ^Decreasing^,Green,2.12,Yellow
Utah,Utah,Red,0.7% ^0.4% - 0.9%^,4302,89,Yellow,32,13440,56% ^Normal^,Normal,51% ^Normal^,Normal,127,Red,43,42,40,43,42,45,45,46,43,45,47,47,47,44,43,2% ^Increasing^,Red,0.77,Green
Vermont,Vermont 😷,Green,0.5% ^0.0% - 1.0%^,1153,123,Green,123,940,50% ^Normal^,Normal,55% ^Normal^,Normal,4,Green,8,19,18,16,21,13,10,3,5,3,6,6,3,6,8,-58% ^Decreasing^,Green,3.5,Yellow
Virginia,Virginia,Red,0.6% ^0.4% - 0.7%^,12759,99,Green,40,31807,66% ^Normal^,Normal,59% ^Normal^,Normal,113,Red,126,138,129,129,128,127,122,131,132,129,129,127,124,123,126,-9% ^Decreasing^,Green,2.09,Yellow
Washington,Washington 😷,Yellow,0.5% ^0.3% - 0.6%^,14838,129,Green,103,14473,61% ^Normal^,Normal,56% ^Normal^,Normal,58,Yellow,38,46,46,45,45,45,43,43,41,41,38,37,36,36,38,-17% ^Decreasing^,Green,2.54,Yellow
West Virginia,West Virginia,Red,0.7% ^0.4% - 1.0%^,3192,118,Green,58,5497,69% ^Normal^,Normal,62% ^Normal^,Normal,93,Red,82,81,74,84,79,78,79,81,81,85,86,83,83,85,82,1% ^Increasing^,Red,2.15,Yellow
Wisconsin,Wisconsin,Bruised Red,0.6% ^0.4% - 0.7%^,7576,86,Yellow,25,30209,50% ^Normal^,Normal,56% ^Normal^,Normal,157,Bruised Red,52,50,53,53,49,49,51,49,49,52,47,47,50,51,52,4% ^Increasing^,Red,1.34,Yellow
Wyoming,Wyoming,Yellow,0.9% ^0.3% - 1.4%^,1146,131,Green,101,1131,37% ^Normal^,Normal,35% ^Normal^,Normal,59,Yellow,21,22,26,26,26,28,22,24,26,26,26,26,26,29,21,-8% ^Decreasing^,Green,1.01,Yellow
Puerto Rico,Puerto Rico,Bruised Red,,215,4,Bruised Red,3,7090,58% ^Normal^,Normal,52% ^Normal^,Normal,67,Yellow,125,126,128,114,114,120,123,117,109,120,116,118,116,119,125,-1% ^Decreasing^,Green,1.41,Yellow
United States,United States,Red,,701459,140,Green,58,1206405,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,110,Red,98,113,112,110,108,107,106,107,104,103,101,97,96,97,98,-13% ^Decreasing^,Green,2.89,Yellow
