STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Missouri,Missouri,Bruised Red,0.7% ^0.5% - 0.8%^,9585,104,Green,22,43480,66% ^Normal^,Normal,61% ^Normal^,Normal,215,Bruised Red,152,149,156,156,151,144,147,164,159,164,148,148,152,152,152,2% ^Increasing^,Red,1.73,Yellow
Montana,Montana,Red,0.8% ^0.4% - 1.2%^,2445,152,Green,54,4507,63% ^Normal^,Normal,61% ^Normal^,Normal,128,Red,140,103,104,107,111,117,111,113,120,123,125,131,140,141,140,36% ^Increasing^,Red,1.42,Yellow
Nebraska,Nebraska,Bruised Red,0.9% ^0.5% - 1.2%^,3025,104,Green,27,11163,58% ^Normal^,Normal,64% ^Normal^,Normal,175,Bruised Red,84,72,72,75,80,87,86,90,87,89,89,83,84,89,84,16% ^Increasing^,Red,1.14,Yellow
Nevada,Nevada 😷,Bruised Red,0.7% ^0.4% - 1.0%^,2895,62,Red,21,13483,72% ^Elevated^,Elevated,73% ^Elevated^,Elevated,133,Red,198,268,268,250,251,247,236,230,219,219,216,209,219,205,198,-26% ^Decreasing^,Green,1.94,Yellow
New Hampshire,New Hampshire,Green,0.2% ^0.0% - 0.4%^,1587,77,Yellow,77,2049,51% ^Normal^,Normal,64% ^Normal^,Normal,16,Green,7,10,9,8,6,6,7,6,5,4,4,6,6,7,7,-36% ^Decreasing^,Green,5.86,Red
New Jersey,New Jersey 😷,Green,0.2% ^0.1% - 0.3%^,30790,230,Green,230,13382,54% ^Normal^,Normal,74% ^Elevated^,Elevated,39,Green,52,42,46,50,49,48,51,49,49,54,54,52,58,57,52,24% ^Increasing^,Red,8.26,Red
New Mexico,New Mexico 😷,Yellow,0.4% ^0.2% - 0.6%^,5204,165,Green,124,4205,58% ^Normal^,Normal,59% ^Normal^,Normal,61,Yellow,36,31,32,31,32,31,34,32,34,32,31,31,34,34,36,15% ^Increasing^,Red,3.06,Yellow
New York,New York 😷,Green,0.3% ^0.3% - 0.4%^,86851,296,Green,296,29309,59% ^Normal^,Normal,83% ^Constrained^,Constrained,38,Green,22,25,24,25,25,25,25,25,24,22,21,22,23,22,22,-11% ^Decreasing^,Green,5.79,Red
North Carolina,North Carolina,Bruised Red,0.6% ^0.5% - 0.8%^,29458,186,Green,53,55454,72% ^Elevated^,Elevated,74% ^Elevated^,Elevated,160,Bruised Red,91,95,86,90,95,96,91,92,92,87,88,90,82,82,91,-4% ^Decreasing^,Green,1.63,Yellow
North Dakota,North Dakota,Bruised Red,0.8% ^0.3% - 1.2%^,1394,121,Green,16,8783,44% ^Normal^,Normal,68% ^Normal^,Normal,349,Bruised Red,88,70,68,67,66,70,80,92,85,89,89,81,87,67,88,26% ^Increasing^,Red,0.96,Green
Ohio,Ohio 😷,Red,0.4% ^0.3% - 0.5%^,29790,169,Green,76,39223,67% ^Normal^,Normal,71% ^Elevated^,Elevated,102,Red,62,68,66,69,67,66,67,68,68,66,66,66,64,63,62,-8% ^Decreasing^,Green,3.31,Yellow
Oklahoma,Oklahoma,Bruised Red,0.7% ^0.5% - 0.9%^,8374,140,Green,31,27249,65% ^Normal^,Normal,63% ^Normal^,Normal,209,Bruised Red,131,146,146,146,140,135,140,141,144,144,144,135,138,136,131,-10% ^Decreasing^,Green,1.36,Yellow
Oregon,Oregon 😷,Yellow,0.4% ^0.2% - 0.6%^,4723,74,Red,65,7293,79% ^Elevated^,Elevated,96% ^Constrained^,Constrained,52,Yellow,35,41,41,34,37,33,41,39,39,39,32,31,33,32,35,-15% ^Decreasing^,Green,1.72,Yellow
Pennsylvania,Pennsylvania 😷,Yellow,0.4% ^0.3% - 0.5%^,13388,69,Red,50,26735,77% ^Elevated^,Elevated,83% ^Constrained^,Constrained,63,Yellow,39,38,39,40,42,42,42,41,40,39,39,41,43,41,39,2% ^Increasing^,Red,5.62,Red
Rhode Island,Rhode Island 😷,Yellow,0.4% ^0.1% - 0.7%^,7517,471,Green,285,2640,88% ^Severely constrained^,Severely constrained,100% ^Constrained^,Constrained,76,Yellow,72,82,76,76,82,76,77,76,76,73,73,76,74,64,72,-13% ^Decreasing^,Green,4.74,Yellow
South Carolina,South Carolina,Bruised Red,0.7% ^0.5% - 0.9%^,7925,102,Green,23,34763,76% ^Elevated^,Elevated,83% ^Constrained^,Constrained,205,Bruised Red,177,199,199,190,199,205,195,190,184,186,181,174,173,177,177,-11% ^Decreasing^,Green,2.31,Yellow
South Dakota,South Dakota,Bruised Red,0.5% ^0.2% - 0.9%^,1336,100,Green,14,9801,51% ^Normal^,Normal,61% ^Normal^,Normal,336,Bruised Red,101,75,70,73,60,66,85,90,89,88,86,88,87,86,101,35% ^Increasing^,Red,1.16,Yellow
Tennessee,Tennessee,Bruised Red,0.9% ^0.7% - 1.1%^,18247,177,Green,40,46115,70% ^Elevated^,Elevated,67% ^Normal^,Normal,205,Bruised Red,152,161,148,149,161,157,153,148,147,130,133,152,158,155,152,-6% ^Decreasing^,Green,1.14,Yellow
Texas,Texas 😷,Bruised Red,0.7% ^0.6% - 0.8%^,39627,91,Yellow,29,137002,76% ^Elevated^,Elevated,69% ^Normal^,Normal,143,Red,134,182,179,173,169,166,155,153,147,144,145,143,143,141,134,-26% ^Decreasing^,Green,2.1,Yellow
Utah,Utah,Red,0.7% ^0.4% - 0.9%^,4567,95,Yellow,34,13629,56% ^Normal^,Normal,58% ^Normal^,Normal,129,Red,45,46,49,45,45,41,42,40,43,42,45,45,46,43,45,-3% ^Decreasing^,Green,0.78,Green
Vermont,Vermont 😷,Green,0.3% ^-0.1% - 0.6%^,2206,235,Green,235,940,65% ^Normal^,Normal,63% ^Normal^,Normal,12,Green,3,24,21,18,21,22,19,18,16,21,13,10,3,5,3,-87% ^Decreasing^,Green,3.53,Yellow
Virginia,Virginia,Red,0.5% ^0.3% - 0.6%^,13627,106,Green,40,33882,69% ^Normal^,Normal,64% ^Normal^,Normal,120,Red,129,135,135,132,138,137,138,129,129,128,127,122,131,132,129,-5% ^Decreasing^,Green,2.13,Yellow
Washington,Washington 😷,Yellow,0.4% ^0.3% - 0.5%^,15704,137,Green,106,14864,96% ^Severely constrained^,Severely constrained,91% ^Constrained^,Constrained,59,Yellow,41,49,49,49,46,47,46,46,45,45,45,43,43,41,41,-17% ^Decreasing^,Green,2.56,Yellow
West Virginia,West Virginia,Red,0.5% ^0.3% - 0.7%^,4190,155,Green,73,5718,72% ^Elevated^,Elevated,70% ^Normal^,Normal,97,Red,85,77,78,79,78,80,81,74,84,79,78,79,81,81,85,10% ^Increasing^,Red,2.2,Yellow
Wisconsin,Wisconsin,Red,0.5% ^0.4% - 0.7%^,8427,96,Yellow,32,26381,53% ^Normal^,Normal,62% ^Normal^,Normal,137,Red,52,60,57,55,58,61,50,53,53,49,49,51,49,49,52,-14% ^Decreasing^,Green,1.37,Yellow
Wyoming,Wyoming,Red,0.6% ^0.1% - 1.0%^,438,50,Red,41,1065,49% ^Normal^,Normal,44% ^Normal^,Normal,56,Yellow,26,33,33,35,31,29,22,26,26,26,28,22,24,26,26,-21% ^Decreasing^,Green,1.05,Yellow
Puerto Rico,Puerto Rico,Bruised Red,,322,7,Bruised Red,3,10621,61% ^Normal^,Normal,59% ^Normal^,Normal,101,Red,120,126,116,114,122,124,126,128,114,114,120,123,117,109,120,-5% ^Decreasing^,Green,1.33,Yellow
United States,United States,Red,,747069,150,Green,54,1374624,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,126,Red,103,120,118,117,117,116,113,112,110,108,107,106,107,104,103,-15% ^Decreasing^,Green,2.91,Yellow
