STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR,COVID+ RATE IS1
New Hampshire,New Hampshire,Yellow,1080,53,Red,53,2049,46% ^Normal^,Normal,59% ^Normal^,Normal,16,Green,9,15,15,18,17,15,15,13,11,11,11,10,11,9,9,-40% ^Decreasing^,Green,6.07,Red,1.4% ^Decreasing^
New Jersey,New Jersey 😷,Yellow,25957,194,Green,194,13382,54% ^Normal^,Normal,73% ^Elevated^,Elevated,40,Yellow,53,85,62,61,54,61,61,67,61,58,59,51,53,53,53,-38% ^Decreasing^,Green,8.45,Red,1.4% ^Decreasing^
New Mexico,New Mexico 😷,Yellow,6880,218,Green,132,5214,62% ^Normal^,Normal,65% ^Normal^,Normal,75,Yellow,45,66,66,63,61,58,61,64,57,61,60,54,52,57,45,-32% ^Decreasing^,Green,3.07,Yellow,2.4% ^Decreasing^
New York,New York 😷,Green,77703,265,Green,265,29309,57% ^Normal^,Normal,70% ^Normal^,Normal,33,Green,28,29,30,29,28,28,28,29,29,28,27,27,27,28,28,-4% ^Decreasing^,Green,5.92,Red,0.8% ^Decreasing^
North Carolina,North Carolina,Red,22116,140,Green,53,41820,73% ^Elevated^,Elevated,71% ^Elevated^,Elevated,121,Red,95,109,107,108,106,106,107,101,102,100,98,89,93,98,95,-13% ^Decreasing^,Green,1.64,Yellow,6.9% ^Increasing^
North Dakota,North Dakota,Bruised Red,1358,118,Green,29,4705,38% ^Normal^,Normal,60% ^Normal^,Normal,187,Bruised Red,64,60,63,64,62,63,72,76,77,85,72,71,72,62,64,7% ^Increasing^,Red,1.23,Yellow,9.9% ^Increasing^
Ohio,Ohio 😷,Red,22870,130,Green,73,31270,61% ^Normal^,Normal,64% ^Normal^,Normal,81,Red,76,84,82,80,81,83,83,84,81,79,77,78,80,80,76,-9% ^Decreasing^,Green,3.52,Yellow,4.4% ^Decreasing^
Oklahoma,Oklahoma,Bruised Red,8662,145,Green,41,21332,61% ^Normal^,Normal,58% ^Normal^,Normal,163,Bruised Red,143,162,142,150,150,150,134,131,152,143,128,128,128,144,143,-12% ^Decreasing^,Green,1.4,Yellow,7.6% ^Decreasing^
Oregon,Oregon 😷,Yellow,5516,87,Yellow,63,8712,70% ^Normal^,Normal,75% ^Elevated^,Elevated,63,Yellow,48,55,48,48,48,51,55,51,55,53,53,53,49,51,48,-12% ^Decreasing^,Green,1.71,Yellow,4.8% ^Decreasing^
Pennsylvania,Pennsylvania 😷,Yellow,14480,75,Yellow,61,23661,66% ^Normal^,Normal,69% ^Normal^,Normal,56,Yellow,43,52,51,50,47,46,47,47,47,46,45,44,44,43,43,-17% ^Decreasing^,Green,5.96,Red,5.1% ^Decreasing^
Rhode Island,Rhode Island 😷,Red,4011,251,Green,128,3140,86% ^Severely constrained^,Severely constrained,95% ^Constrained^,Constrained,90,Red,77,78,79,77,88,88,83,84,76,75,80,76,76,74,77,-1% ^Decreasing^,Green,4.94,Yellow,2.3% ^Flat^
South Carolina,South Carolina,Bruised Red,12006,155,Green,47,25632,74% ^Elevated^,Elevated,72% ^Elevated^,Elevated,151,Bruised Red,227,290,275,272,268,263,258,265,257,252,242,225,214,217,227,-22% ^Decreasing^,Green,2.18,Yellow,6.7% ^Decreasing^
South Dakota,South Dakota,Bruised Red,1060,80,Yellow,30,3540,44% ^Normal^,Normal,35% ^Normal^,Normal,121,Red,62,50,53,54,62,71,64,67,63,73,71,75,68,77,62,25% ^Increasing^,Red,1.47,Yellow,9.6% ^Increasing^
Tennessee,Tennessee,Bruised Red,24180,235,Green,45,53776,71% ^Elevated^,Elevated,66% ^Normal^,Normal,238,Bruised Red,180,219,206,204,189,171,202,190,192,185,191,168,167,180,180,-18% ^Decreasing^,Green,1.05,Yellow,7.1% ^Decreasing^
Texas,Texas 😷,Bruised Red,58690,134,Green,25,237770,75% ^Elevated^,Elevated,71% ^Elevated^,Elevated,248,Bruised Red,206,286,278,271,256,252,249,242,237,229,224,216,214,214,206,-28% ^Decreasing^,Green,1.89,Yellow,12.0% ^Decreasing^
Utah,Utah,Red,4165,86,Yellow,36,11460,56% ^Normal^,Normal,51% ^Normal^,Normal,108,Red,49,69,73,69,70,69,65,74,64,59,58,64,49,57,49,-28% ^Decreasing^,Green,0.79,Green,8.6% ^Decreasing^
Vermont,Vermont 😷,Green,1289,137,Green,137,940,53% ^Normal^,Normal,32% ^Normal^,Normal,13,Green,19,10,10,13,10,18,19,14,22,21,22,27,29,27,19,100% ^Increasing^,Red,3.78,Yellow,0.6% ^Increasing^
Virginia,Virginia,Red,17066,133,Green,56,30633,63% ^Normal^,Normal,55% ^Normal^,Normal,109,Red,146,158,161,147,141,147,151,150,147,152,149,139,137,147,146,-8% ^Decreasing^,Green,2.21,Yellow,5.5% ^Decreasing^
Washington,Washington 😷,Bruised Red,588,5,Bruised Red,3,19390,84% ^Constrained^,Constrained,81% ^Constrained^,Constrained,77,Yellow,49,56,53,54,53,53,51,50,52,53,51,52,51,52,49,-12% ^Decreasing^,Green,2.65,Yellow,100.0% ^Increasing^
West Virginia,West Virginia,Yellow,4926,182,Green,132,3738,72% ^Elevated^,Elevated,69% ^Normal^,Normal,63,Yellow,74,69,68,68,69,69,73,75,71,75,74,73,75,74,74,8% ^Increasing^,Red,1.89,Yellow,2.4% ^Decreasing^
Wisconsin,Wisconsin,Red,9417,107,Green,36,25834,52% ^Normal^,Normal,58% ^Normal^,Normal,134,Red,67,43,51,53,61,71,63,63,63,58,58,57,63,63,67,55% ^Increasing^,Red,1.48,Yellow,8.0% ^Increasing^
Wyoming,Wyoming,Red,538,62,Red,33,1622,43% ^Normal^,Normal,39% ^Normal^,Normal,85,Red,21,28,29,29,29,26,26,26,24,22,22,22,22,21,21,-25% ^Decreasing^,Green,0.99,Green,8.1% ^Flat^
Puerto Rico,Puerto Rico,Bruised Red,551,11,Bruised Red,3,18197,58% ^Normal^,Normal,54% ^Normal^,Normal,173,Bruised Red,113,143,138,125,133,132,137,140,146,134,127,123,125,123,113,-21% ^Decreasing^,Green,1.27,Yellow,100.0% ^Flat^
United States,United States,Red,747398,150,Green,48,1556063,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,142,Red,131,160,154,150,148,147,146,145,142,138,135,133,131,132,131,-18% ^Decreasing^,Green,3.0,Yellow,6.5% ^Decreasing^
