STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Minnesota,Minnesota,Red,0.4% ^0.3% - 0.6%^,6886,81,Yellow,37,18598,71% ^Elevated^,Elevated,68% ^Normal^,Normal,100,Red,43,48,49,49,50,49,46,47,46,45,44,43,41,42,43,-10% ^Decreasing^,Green,2.31,Yellow
Mississippi,Mississippi 😷,Bruised Red,0.9% ^0.5% - 1.2%^,3299,74,Red,20,16165,71% ^Elevated^,Elevated,65% ^Normal^,Normal,165,Bruised Red,212,273,265,255,255,255,255,229,224,183,182,182,172,224,212,-22% ^Decreasing^,Green,3.02,Yellow
Missouri,Missouri,Bruised Red,1.0% ^0.7% - 1.2%^,13353,144,Green,28,47671,64% ^Normal^,Normal,60% ^Normal^,Normal,235,Bruised Red,161,152,152,152,152,152,152,152,152,152,169,158,165,166,161,6% ^Increasing^,Red,1.63,Yellow
Montana,Montana,Red,0.6% ^0.3% - 1.0%^,3036,189,Green,67,4540,58% ^Normal^,Normal,71% ^Elevated^,Elevated,129,Red,99,141,140,141,146,153,151,153,153,133,135,136,135,102,99,-30% ^Decreasing^,Green,1.5,Yellow
Nebraska,Nebraska,Bruised Red,0.6% ^0.3% - 1.0%^,3373,116,Green,29,11753,55% ^Normal^,Normal,58% ^Normal^,Normal,184,Bruised Red,86,89,84,90,91,90,89,93,94,92,86,84,87,91,86,-3% ^Decreasing^,Green,1.12,Yellow
Nevada,Nevada 😷,Red,0.6% ^0.2% - 0.9%^,3523,76,Yellow,38,9381,71% ^Elevated^,Elevated,67% ^Normal^,Normal,92,Red,158,205,198,194,194,194,175,179,168,155,155,155,154,157,158,-23% ^Decreasing^,Green,2.01,Yellow
New Hampshire,New Hampshire,Yellow,0.2% ^0.0% - 0.4%^,1538,75,Yellow,75,2049,55% ^Normal^,Normal,62% ^Normal^,Normal,30,Green,6,7,7,7,7,5,5,5,5,5,4,5,5,7,6,-20% ^Decreasing^,Green,5.63,Red
New Jersey,New Jersey 😷,Yellow,0.3% ^0.2% - 0.4%^,20546,154,Green,154,13382,52% ^Normal^,Normal,74% ^Elevated^,Elevated,45,Yellow,52,57,52,44,45,44,47,48,49,54,52,50,47,46,52,-8% ^Decreasing^,Green,8.12,Red
New Mexico,New Mexico 😷,Yellow,0.3% ^0.0% - 0.5%^,4617,146,Green,132,3498,62% ^Normal^,Normal,61% ^Normal^,Normal,51,Yellow,28,34,36,33,32,31,31,32,37,38,35,32,28,29,28,-17% ^Decreasing^,Green,3.08,Yellow
New York,New York 😷,Green,0.3% ^0.2% - 0.4%^,79179,270,Green,270,29309,62% ^Normal^,Normal,70% ^Elevated^,Elevated,38,Green,25,22,22,22,21,21,23,24,25,24,24,24,24,25,25,12% ^Increasing^,Red,5.69,Red
North Carolina,North Carolina,Red,0.6% ^0.5% - 0.8%^,27610,175,Green,69,40034,74% ^Elevated^,Elevated,77% ^Elevated^,Elevated,116,Red,88,82,91,79,79,73,79,87,88,89,83,79,85,87,88,7% ^Increasing^,Red,1.67,Yellow
North Dakota,North Dakota,Bruised Red,0.8% ^0.2% - 1.4%^,5636,491,Green,54,10480,46% ^Normal^,Normal,63% ^Normal^,Normal,417,Bruised Red,81,67,88,88,84,89,83,70,81,84,73,81,85,81,81,22% ^Increasing^,Red,0.86,Green
Ohio,Ohio 😷,Red,0.6% ^0.5% - 0.7%^,31274,178,Green,88,35607,66% ^Normal^,Normal,68% ^Normal^,Normal,92,Red,56,63,62,61,59,59,59,60,58,56,54,54,57,57,56,-12% ^Decreasing^,Green,3.24,Yellow
Oklahoma,Oklahoma,Bruised Red,0.9% ^0.6% - 1.1%^,10580,177,Green,35,29959,65% ^Normal^,Normal,61% ^Normal^,Normal,229,Bruised Red,133,136,131,119,119,119,119,117,130,129,126,126,126,142,133,-2% ^Decreasing^,Green,1.28,Yellow
Oregon,Oregon 😷,Yellow,0.5% ^0.3% - 0.7%^,3885,61,Red,60,6501,56% ^Normal^,Normal,71% ^Elevated^,Elevated,47,Yellow,41,32,35,35,35,35,36,35,38,38,38,38,32,37,41,29% ^Increasing^,Red,1.75,Yellow
Pennsylvania,Pennsylvania 😷,Red,0.4% ^0.3% - 0.5%^,12599,65,Red,47,26871,76% ^Elevated^,Elevated,74% ^Elevated^,Elevated,64,Yellow,38,41,39,39,38,39,40,38,38,38,37,36,37,38,38,-8% ^Decreasing^,Green,5.38,Red
Rhode Island,Rhode Island 😷,Red,0.4% ^0.0% - 0.8%^,7969,499,Green,248,3215,81% ^Constrained^,Constrained,111% ^Constrained^,Constrained,92,Red,79,64,72,77,75,69,69,77,72,76,76,76,76,76,79,24% ^Increasing^,Red,4.63,Yellow
South Carolina,South Carolina,Bruised Red,0.7% ^0.5% - 0.9%^,11048,142,Green,30,37285,74% ^Elevated^,Elevated,79% ^Elevated^,Elevated,219,Bruised Red,152,177,177,164,153,153,149,156,165,157,157,146,142,145,152,-14% ^Decreasing^,Green,2.34,Yellow
South Dakota,South Dakota,Bruised Red,1.0% ^0.4% - 1.6%^,1681,126,Green,21,8109,51% ^Normal^,Normal,60% ^Normal^,Normal,278,Bruised Red,157,86,101,97,92,88,77,86,94,111,123,124,124,150,157,83% ^Increasing^,Red,1.11,Yellow
Tennessee,Tennessee,Bruised Red,0.7% ^0.5% - 0.9%^,25105,244,Green,51,49500,73% ^Elevated^,Elevated,69% ^Normal^,Normal,220,Bruised Red,142,155,152,146,142,139,144,155,152,141,138,120,122,130,142,-8% ^Decreasing^,Green,1.21,Yellow
Texas,Texas 😷,Bruised Red,0.6% ^0.5% - 0.7%^,37769,86,Yellow,28,136625,77% ^Elevated^,Elevated,70% ^Elevated^,Elevated,143,Red,112,141,134,137,128,122,128,124,123,119,116,114,117,114,112,-20% ^Decreasing^,Green,2.15,Yellow
Utah,Utah,Bruised Red,0.5% ^0.3% - 0.7%^,4456,92,Yellow,23,19206,60% ^Normal^,Normal,58% ^Normal^,Normal,182,Bruised Red,43,43,45,47,47,47,44,43,51,53,55,56,53,56,43,1% ^Increasing^,Red,0.73,Green
Vermont,Vermont 😷,Yellow,0.2% ^-0.1% - 0.5%^,699,74,Red,74,940,54% ^Normal^,Normal,57% ^Normal^,Normal,11,Green,10,5,3,6,6,3,6,8,8,6,6,2,5,11,10,100% ^Increasing^,Red,3.41,Yellow
Virginia,Virginia,Red,0.4% ^0.3% - 0.5%^,15178,118,Green,46,33330,66% ^Normal^,Normal,65% ^Normal^,Normal,118,Red,120,132,129,129,127,124,123,126,128,131,117,119,118,119,120,-9% ^Decreasing^,Green,2.12,Yellow
Washington,Washington 😷,Yellow,0.4% ^0.3% - 0.5%^,13257,116,Green,100,13214,66% ^Normal^,Normal,61% ^Normal^,Normal,53,Yellow,33,41,41,38,37,36,36,38,37,35,35,33,32,34,33,-20% ^Decreasing^,Green,2.5,Yellow
West Virginia,West Virginia,Red,0.6% ^0.3% - 0.9%^,4279,158,Green,65,6543,72% ^Elevated^,Elevated,65% ^Normal^,Normal,111,Red,87,81,85,86,83,83,85,82,79,82,81,82,84,86,87,8% ^Increasing^,Red,2.2,Yellow
Wisconsin,Wisconsin,Bruised Red,0.5% ^0.3% - 0.7%^,9570,109,Green,21,46436,54% ^Normal^,Normal,61% ^Normal^,Normal,242,Bruised Red,64,49,52,47,47,50,51,52,52,56,56,55,54,59,64,29% ^Increasing^,Red,1.26,Yellow
Wyoming,Wyoming,Red,1.0% ^0.3% - 1.7%^,733,84,Yellow,37,1956,38% ^Normal^,Normal,38% ^Normal^,Normal,102,Red,28,26,26,26,26,26,29,21,21,21,21,21,22,28,28,7% ^Increasing^,Red,1.01,Yellow
Puerto Rico,Puerto Rico,Bruised Red,,397,8,Bruised Red,3,13092,60% ^Normal^,Normal,53% ^Normal^,Normal,124,Red,136,109,120,116,118,116,119,125,132,126,132,124,130,128,136,24% ^Increasing^,Red,1.49,Yellow
United States,United States,Red,,763080,153,Green,60,1263806,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,116,Red,91,104,103,101,97,96,97,98,98,95,92,90,90,91,91,-13% ^Decreasing^,Green,2.86,Yellow
