STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Iowa,Iowa,Bruised Red,0.9% ^0.6% - 1.2%^,4376,92,Yellow,22,19508,63% ^Normal^,Normal,59% ^Normal^,Normal,187,Bruised Red,90,98,102,100,100,98,99,103,102,96,89,92,87,86,90,-8% ^Decreasing^,Green,1.68,Yellow
Kansas,Kansas 😷,Bruised Red,0.6% ^0.4% - 0.9%^,3099,71,Red,22,14072,62% ^Normal^,Normal,56% ^Normal^,Normal,146,Red,66,115,115,108,108,108,61,61,109,109,48,48,48,66,66,-43% ^Decreasing^,Green,1.07,Yellow
Kentucky,Kentucky 😷,Red,0.4% ^0.2% - 0.6%^,19398,288,Green,88,22068,83% ^Constrained^,Constrained,66% ^Normal^,Normal,150,Red,119,132,127,128,120,120,113,114,125,126,123,131,131,113,119,-10% ^Decreasing^,Green,1.85,Yellow
Louisiana,Louisiana 😷,Bruised Red,0.7% ^0.4% - 0.9%^,17658,252,Green,76,23213,66% ^Normal^,Normal,65% ^Normal^,Normal,151,Bruised Red,143,188,183,174,174,170,169,172,168,164,156,156,146,143,143,-24% ^Decreasing^,Green,3.31,Yellow
Maine,Maine 😷,Green,0.3% ^0.1% - 0.6%^,4826,238,Green,238,2025,71% ^Elevated^,Elevated,67% ^Normal^,Normal,22,Green,7,8,7,7,4,4,6,5,7,8,7,7,8,7,7,-9% ^Decreasing^,Green,2.79,Yellow
Maryland,Maryland 😷,Red,0.4% ^0.2% - 0.6%^,8883,98,Yellow,47,18885,70% ^Elevated^,Elevated,78% ^Elevated^,Elevated,95,Red,61,61,63,65,58,56,60,60,61,59,61,60,58,57,61,0% ^Increasing^,Red,3.28,Yellow
Massachusetts,Massachusetts 😷,Yellow,0.3% ^0.1% - 0.4%^,45347,433,Green,396,11460,52% ^Normal^,Normal,69% ^Normal^,Normal,50,Yellow,45,44,45,48,47,45,46,47,49,51,47,48,45,43,45,1% ^Increasing^,Red,7.36,Red
Michigan,Michigan 😷,Red,0.4% ^0.3% - 0.5%^,29648,197,Green,104,28602,74% ^Elevated^,Elevated,73% ^Elevated^,Elevated,87,Red,59,63,62,62,62,62,62,62,62,63,63,63,63,59,59,-6% ^Decreasing^,Green,5.55,Red
Minnesota,Minnesota,Red,0.4% ^0.3% - 0.6%^,6571,77,Yellow,37,17646,71% ^Elevated^,Elevated,68% ^Normal^,Normal,95,Red,42,53,48,49,49,50,49,46,47,46,45,44,43,41,42,-20% ^Decreasing^,Green,2.32,Yellow
Mississippi,Mississippi 😷,Bruised Red,0.9% ^0.5% - 1.2%^,2836,63,Red,19,14822,71% ^Elevated^,Elevated,65% ^Normal^,Normal,151,Bruised Red,224,288,273,265,255,255,255,255,229,224,183,182,182,172,224,-22% ^Decreasing^,Green,3.02,Yellow
Missouri,Missouri,Bruised Red,1.0% ^0.7% - 1.2%^,13503,146,Green,28,48477,64% ^Normal^,Normal,60% ^Normal^,Normal,239,Bruised Red,166,152,152,152,152,152,152,152,152,152,152,169,158,165,166,9% ^Increasing^,Red,1.64,Yellow
Montana,Montana,Red,0.6% ^0.3% - 1.0%^,2941,183,Green,72,4068,58% ^Normal^,Normal,71% ^Elevated^,Elevated,115,Red,102,140,141,140,141,146,153,151,153,153,133,135,136,135,102,-27% ^Decreasing^,Green,1.51,Yellow
Nebraska,Nebraska,Bruised Red,0.6% ^0.3% - 1.0%^,4054,139,Green,32,12573,55% ^Normal^,Normal,58% ^Normal^,Normal,197,Bruised Red,91,84,89,84,90,91,90,89,93,94,92,86,84,87,91,9% ^Increasing^,Red,1.13,Yellow
Nevada,Nevada 😷,Red,0.6% ^0.2% - 0.9%^,3212,69,Red,35,9127,71% ^Elevated^,Elevated,67% ^Normal^,Normal,90,Red,157,219,205,198,194,194,194,175,179,168,155,155,155,154,157,-28% ^Decreasing^,Green,2.0,Yellow
New Hampshire,New Hampshire,Yellow,0.2% ^0.0% - 0.4%^,1356,66,Red,66,2049,55% ^Normal^,Normal,62% ^Normal^,Normal,27,Green,7,6,7,7,7,7,5,5,5,5,5,4,5,5,7,13% ^Increasing^,Red,5.65,Red
New Jersey,New Jersey 😷,Yellow,0.3% ^0.2% - 0.4%^,20224,151,Green,151,13382,52% ^Normal^,Normal,74% ^Elevated^,Elevated,44,Yellow,46,58,57,52,44,45,44,47,48,49,54,52,50,47,46,-21% ^Decreasing^,Green,8.13,Red
New Mexico,New Mexico 😷,Yellow,0.3% ^0.0% - 0.5%^,4482,142,Green,136,3291,62% ^Normal^,Normal,61% ^Normal^,Normal,48,Yellow,29,34,34,36,33,32,31,31,32,37,38,35,32,28,29,-17% ^Decreasing^,Green,3.07,Yellow
New York,New York 😷,Green,0.3% ^0.2% - 0.4%^,77485,264,Green,264,29309,62% ^Normal^,Normal,70% ^Elevated^,Elevated,38,Green,25,23,22,22,22,21,21,23,24,25,24,24,24,24,25,8% ^Increasing^,Red,5.7,Red
North Carolina,North Carolina,Red,0.6% ^0.5% - 0.8%^,26066,165,Green,67,38902,74% ^Elevated^,Elevated,77% ^Elevated^,Elevated,112,Red,87,82,82,91,79,79,73,79,87,88,89,83,79,85,87,7% ^Increasing^,Red,1.66,Yellow
North Dakota,North Dakota,Bruised Red,0.8% ^0.2% - 1.4%^,5351,466,Green,52,10334,46% ^Normal^,Normal,63% ^Normal^,Normal,411,Bruised Red,81,87,67,88,88,84,89,83,70,81,84,73,81,85,81,-6% ^Decreasing^,Green,0.84,Green
Ohio,Ohio 😷,Red,0.6% ^0.5% - 0.7%^,29998,170,Green,85,35324,66% ^Normal^,Normal,68% ^Normal^,Normal,92,Red,57,64,63,62,61,59,59,59,60,58,56,54,54,57,57,-11% ^Decreasing^,Green,3.23,Yellow
Oklahoma,Oklahoma,Bruised Red,0.9% ^0.6% - 1.1%^,13053,219,Green,44,29516,65% ^Normal^,Normal,61% ^Normal^,Normal,226,Bruised Red,142,138,136,131,119,119,119,119,117,130,129,126,126,126,142,3% ^Increasing^,Red,1.28,Yellow
Oregon,Oregon 😷,Yellow,0.5% ^0.3% - 0.7%^,3795,60,Red,60,6354,56% ^Normal^,Normal,71% ^Elevated^,Elevated,44,Yellow,37,33,32,35,35,35,35,36,35,38,38,38,38,32,37,12% ^Increasing^,Red,1.75,Yellow
Pennsylvania,Pennsylvania 😷,Red,0.4% ^0.3% - 0.5%^,12346,64,Red,45,27602,76% ^Elevated^,Elevated,74% ^Elevated^,Elevated,65,Yellow,38,43,41,39,39,38,39,40,38,38,38,37,36,37,38,-12% ^Decreasing^,Green,5.39,Red
Rhode Island,Rhode Island 😷,Red,0.4% ^0.0% - 0.8%^,8565,537,Green,276,3102,81% ^Constrained^,Constrained,111% ^Constrained^,Constrained,89,Red,76,74,64,72,77,75,69,69,77,72,76,76,76,76,76,4% ^Increasing^,Red,4.64,Yellow
South Carolina,South Carolina,Bruised Red,0.7% ^0.5% - 0.9%^,10617,137,Green,30,35649,74% ^Elevated^,Elevated,79% ^Elevated^,Elevated,210,Bruised Red,145,173,177,177,164,153,153,149,156,165,157,157,146,142,145,-16% ^Decreasing^,Green,2.32,Yellow
South Dakota,South Dakota,Bruised Red,1.0% ^0.4% - 1.6%^,1344,101,Green,18,7500,51% ^Normal^,Normal,60% ^Normal^,Normal,257,Bruised Red,150,87,86,101,97,92,88,77,86,94,111,123,124,124,150,73% ^Increasing^,Red,1.08,Yellow
Tennessee,Tennessee,Bruised Red,0.7% ^0.5% - 0.9%^,23491,228,Green,53,44677,73% ^Elevated^,Elevated,69% ^Normal^,Normal,198,Bruised Red,130,158,155,152,146,142,139,144,155,152,141,138,120,122,130,-18% ^Decreasing^,Green,1.21,Yellow
Texas,Texas 😷,Bruised Red,0.6% ^0.5% - 0.7%^,35044,80,Yellow,28,127074,77% ^Elevated^,Elevated,70% ^Elevated^,Elevated,133,Red,114,143,141,134,137,128,122,128,124,123,119,116,114,117,114,-20% ^Decreasing^,Green,2.14,Yellow
Utah,Utah,Bruised Red,0.5% ^0.3% - 0.7%^,4324,90,Yellow,25,17165,60% ^Normal^,Normal,58% ^Normal^,Normal,162,Bruised Red,56,46,43,45,47,47,47,44,43,51,53,55,56,53,56,21% ^Increasing^,Red,0.74,Green
Vermont,Vermont 😷,Yellow,0.2% ^-0.1% - 0.5%^,687,73,Red,73,940,54% ^Normal^,Normal,57% ^Normal^,Normal,11,Green,11,3,5,3,6,6,3,6,8,8,6,6,2,5,11,250% ^Increasing^,Red,3.41,Yellow
Virginia,Virginia,Red,0.4% ^0.3% - 0.5%^,14581,113,Green,44,33504,66% ^Normal^,Normal,65% ^Normal^,Normal,119,Red,119,131,132,129,129,127,124,123,126,128,131,117,119,118,119,-9% ^Decreasing^,Green,2.09,Yellow
Washington,Washington 😷,Yellow,0.4% ^0.3% - 0.5%^,14666,128,Green,96,15227,66% ^Normal^,Normal,61% ^Normal^,Normal,61,Yellow,34,43,41,41,38,37,36,36,38,37,35,35,33,32,34,-20% ^Decreasing^,Green,2.5,Yellow
West Virginia,West Virginia,Red,0.6% ^0.3% - 0.9%^,3984,148,Green,64,6199,72% ^Elevated^,Elevated,65% ^Normal^,Normal,105,Red,86,81,81,85,86,83,83,85,82,79,82,81,82,84,86,6% ^Increasing^,Red,2.16,Yellow
Wisconsin,Wisconsin,Bruised Red,0.5% ^0.3% - 0.7%^,9090,104,Green,21,43659,54% ^Normal^,Normal,61% ^Normal^,Normal,227,Bruised Red,59,49,49,52,47,47,50,51,52,52,56,56,55,54,59,19% ^Increasing^,Red,1.27,Yellow
Wyoming,Wyoming,Red,1.0% ^0.3% - 1.7%^,1182,136,Green,75,1579,38% ^Normal^,Normal,38% ^Normal^,Normal,83,Red,28,24,26,26,26,26,26,29,21,21,21,21,21,22,28,14% ^Increasing^,Red,1.04,Yellow
Puerto Rico,Puerto Rico,Bruised Red,,381,8,Bruised Red,3,12578,60% ^Normal^,Normal,53% ^Normal^,Normal,119,Red,128,117,109,120,116,118,116,119,125,132,126,132,124,130,128,9% ^Increasing^,Red,1.44,Yellow
United States,United States,Red,,745373,149,Green,61,1221240,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,112,Red,91,107,104,103,101,97,96,97,98,98,95,92,90,90,91,-15% ^Decreasing^,Green,2.86,Yellow
