STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Massachusetts,Massachusetts 😷,Yellow,0.3% ^0.2% - 0.4%^,43577,416,Green,415,10503,50% ^Normal^,Normal,78% ^Elevated^,Elevated,46,Yellow,47,44,42,45,46,44,45,48,47,45,46,47,49,51,47,8% ^Increasing^,Red,7.4,Red
Michigan,Michigan 😷,Red,0.5% ^0.4% - 0.6%^,27829,185,Green,99,28078,70% ^Normal^,Normal,68% ^Normal^,Normal,85,Red,63,67,67,63,63,63,62,62,62,62,62,62,62,63,63,-6% ^Decreasing^,Green,5.64,Red
Minnesota,Minnesota,Red,0.6% ^0.4% - 0.8%^,6322,74,Red,36,17679,68% ^Normal^,Normal,63% ^Normal^,Normal,95,Red,45,56,56,54,52,53,48,49,49,50,49,46,47,46,45,-19% ^Decreasing^,Green,2.36,Yellow
Mississippi,Mississippi 😷,Bruised Red,1.0% ^0.6% - 1.3%^,4425,99,Yellow,29,15255,72% ^Elevated^,Elevated,62% ^Normal^,Normal,155,Bruised Red,183,275,275,269,268,288,273,265,255,255,255,255,229,224,183,-33% ^Decreasing^,Green,2.99,Yellow
Missouri,Missouri,Bruised Red,0.9% ^0.7% - 1.2%^,10692,116,Green,25,42169,62% ^Normal^,Normal,55% ^Normal^,Normal,208,Bruised Red,152,159,164,148,148,152,152,152,152,152,152,152,152,152,152,-4% ^Decreasing^,Green,1.72,Yellow
Montana,Montana,Red,0.5% ^0.2% - 0.9%^,2096,130,Green,58,3611,62% ^Normal^,Normal,73% ^Elevated^,Elevated,102,Red,133,120,123,125,131,140,141,140,141,146,153,151,153,153,133,11% ^Increasing^,Red,1.49,Yellow
Nebraska,Nebraska,Red,1.3% ^0.9% - 1.8%^,2889,99,Green,32,8976,54% ^Normal^,Normal,54% ^Normal^,Normal,141,Red,92,87,89,89,83,84,89,84,90,91,90,89,93,94,92,6% ^Increasing^,Red,1.15,Yellow
Nevada,Nevada 😷,Red,0.8% ^0.4% - 1.1%^,3495,75,Yellow,35,9872,69% ^Normal^,Normal,69% ^Normal^,Normal,97,Red,155,219,219,216,209,219,205,198,194,194,194,175,179,168,155,-29% ^Decreasing^,Green,1.98,Yellow
New Hampshire,New Hampshire,Yellow,0.2% ^0.0% - 0.4%^,1433,70,Red,70,2049,49% ^Normal^,Normal,60% ^Normal^,Normal,26,Green,5,5,4,4,6,6,7,7,7,7,5,5,5,5,5,0% ^Decreasing^,Green,5.7,Red
New Jersey,New Jersey 😷,Green,0.2% ^0.1% - 0.3%^,25152,188,Green,188,13382,48% ^Normal^,Normal,72% ^Elevated^,Elevated,40,Green,54,49,54,54,52,58,57,52,44,45,44,47,48,49,54,11% ^Increasing^,Red,8.18,Red
New Mexico,New Mexico 😷,Yellow,0.4% ^0.2% - 0.6%^,4315,137,Green,137,3159,54% ^Normal^,Normal,58% ^Normal^,Normal,42,Yellow,38,34,32,31,31,34,34,36,33,32,31,31,32,37,38,11% ^Increasing^,Red,3.09,Yellow
New York,New York 😷,Green,0.4% ^0.3% - 0.5%^,75978,259,Green,259,29309,58% ^Normal^,Normal,67% ^Normal^,Normal,35,Green,24,24,22,21,22,23,22,22,22,21,21,23,24,25,24,3% ^Increasing^,Red,5.73,Red
North Carolina,North Carolina,Red,0.6% ^0.4% - 0.7%^,24223,153,Green,64,37865,64% ^Normal^,Normal,68% ^Normal^,Normal,109,Red,89,92,87,88,90,82,82,91,79,79,73,79,87,88,89,-3% ^Decreasing^,Green,1.66,Yellow
North Dakota,North Dakota,Bruised Red,0.8% ^0.3% - 1.4%^,4229,368,Green,52,8076,48% ^Normal^,Normal,59% ^Normal^,Normal,321,Bruised Red,84,85,89,89,81,87,67,88,88,84,89,83,70,81,84,-2% ^Decreasing^,Green,0.91,Green
Ohio,Ohio 😷,Red,0.5% ^0.4% - 0.6%^,24233,138,Green,75,32444,63% ^Normal^,Normal,63% ^Normal^,Normal,84,Red,56,68,66,66,66,64,63,62,61,59,59,59,60,58,56,-18% ^Decreasing^,Green,3.25,Yellow
Oklahoma,Oklahoma,Bruised Red,0.9% ^0.7% - 1.2%^,8622,145,Green,33,26409,61% ^Normal^,Normal,55% ^Normal^,Normal,202,Bruised Red,129,144,144,144,135,138,136,131,119,119,119,119,117,130,129,-11% ^Decreasing^,Green,1.31,Yellow
Oregon,Oregon 😷,Yellow,0.4% ^0.2% - 0.5%^,4116,65,Red,65,6354,58% ^Normal^,Normal,67% ^Normal^,Normal,43,Yellow,38,39,39,32,31,33,32,35,35,35,35,36,35,38,38,-3% ^Decreasing^,Green,1.73,Yellow
Pennsylvania,Pennsylvania 😷,Red,0.4% ^0.3% - 0.5%^,11482,60,Red,47,24623,71% ^Elevated^,Elevated,68% ^Normal^,Normal,58,Yellow,38,40,39,39,41,43,41,39,39,38,39,40,38,38,38,-4% ^Decreasing^,Green,5.48,Red
Rhode Island,Rhode Island 😷,Red,0.7% ^0.2% - 1.1%^,8309,521,Green,266,3121,80% ^Elevated^,Elevated,97% ^Constrained^,Constrained,89,Red,76,76,73,73,76,74,64,72,77,75,69,69,77,72,76,0% ^Decreasing^,Green,4.68,Yellow
South Carolina,South Carolina,Bruised Red,0.7% ^0.5% - 0.9%^,8927,115,Green,33,26970,73% ^Elevated^,Elevated,74% ^Elevated^,Elevated,159,Bruised Red,157,184,186,181,174,173,177,177,164,153,153,149,156,165,157,-15% ^Decreasing^,Green,2.35,Yellow
South Dakota,South Dakota,Bruised Red,1.3% ^0.7% - 1.9%^,1239,93,Yellow,17,7170,45% ^Normal^,Normal,56% ^Normal^,Normal,246,Bruised Red,111,89,88,86,88,87,86,101,97,92,88,77,86,94,111,24% ^Increasing^,Red,1.1,Yellow
Tennessee,Tennessee,Bruised Red,0.7% ^0.6% - 0.9%^,19592,190,Green,45,43664,68% ^Normal^,Normal,65% ^Normal^,Normal,194,Bruised Red,141,147,130,133,152,158,155,152,146,142,139,144,155,152,141,-4% ^Decreasing^,Green,1.19,Yellow
Texas,Texas 😷,Red,0.7% ^0.6% - 0.8%^,47755,109,Green,45,106199,72% ^Elevated^,Elevated,68% ^Normal^,Normal,111,Red,119,147,144,145,143,143,141,134,137,128,122,128,124,123,119,-19% ^Decreasing^,Green,2.14,Yellow
Utah,Utah,Bruised Red,0.7% ^0.4% - 0.9%^,4013,83,Yellow,30,13370,56% ^Normal^,Normal,51% ^Normal^,Normal,126,Red,53,43,42,45,45,46,43,45,47,47,47,44,43,51,53,22% ^Increasing^,Red,0.76,Green
Vermont,Vermont 😷,Green,0.5% ^0.0% - 1.0%^,911,97,Yellow,97,940,50% ^Normal^,Normal,55% ^Normal^,Normal,6,Green,6,16,21,13,10,3,5,3,6,6,3,6,8,8,6,-60% ^Decreasing^,Green,3.48,Yellow
Virginia,Virginia,Red,0.6% ^0.4% - 0.7%^,13460,105,Green,42,32345,66% ^Normal^,Normal,59% ^Normal^,Normal,115,Red,131,129,128,127,122,131,132,129,129,127,124,123,126,128,131,2% ^Increasing^,Red,2.06,Yellow
Washington,Washington 😷,Yellow,0.5% ^0.3% - 0.6%^,13808,120,Green,93,14874,61% ^Normal^,Normal,56% ^Normal^,Normal,59,Yellow,35,45,45,45,43,43,41,41,38,37,36,36,38,37,35,-22% ^Decreasing^,Green,2.52,Yellow
West Virginia,West Virginia,Red,0.7% ^0.4% - 1.0%^,3269,121,Green,61,5360,69% ^Normal^,Normal,62% ^Normal^,Normal,91,Red,82,84,79,78,79,81,81,85,86,83,83,85,82,79,82,-3% ^Decreasing^,Green,2.16,Yellow
Wisconsin,Wisconsin,Bruised Red,0.6% ^0.4% - 0.7%^,7285,83,Yellow,22,33759,50% ^Normal^,Normal,56% ^Normal^,Normal,176,Bruised Red,56,53,49,49,51,49,49,52,47,47,50,51,52,52,56,6% ^Increasing^,Red,1.32,Yellow
Wyoming,Wyoming,Yellow,0.9% ^0.3% - 1.4%^,1151,132,Green,89,1296,37% ^Normal^,Normal,35% ^Normal^,Normal,68,Yellow,21,26,26,28,22,24,26,26,26,26,26,29,21,21,21,-20% ^Decreasing^,Green,0.98,Green
Puerto Rico,Puerto Rico,Bruised Red,,334,7,Bruised Red,3,11031,58% ^Normal^,Normal,52% ^Normal^,Normal,105,Red,126,114,114,120,123,117,109,120,116,118,116,119,125,132,126,10% ^Increasing^,Red,1.43,Yellow
United States,United States,Red,,697559,140,Green,61,1141428,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,104,Red,95,110,108,107,106,107,104,103,101,97,96,97,98,98,95,-14% ^Decreasing^,Green,2.89,Yellow
